Name of Company,Market Cap (in Cr),Quaterly Sales (in Cr)
eClerx Services,5259.14,339.89
Sobha,5224.11,691.9
Kirloskar Oil,5207.77,684.61
GSFC,5200.13,1537.45
CG Power & Indu.,5151.85,1516.08
Westlife Develop,5145.88,305.19
K P R Mill Ltd,5145.36,714.51
Tube Investments,5139.43,1274.21
Bajaj Electrical,5127.38,1145.13
VST Inds.,5109.25,238.97
BEML Ltd,5089.87,731.51
FDC,5084.19,248.77
DCB Bank,5080.5,610.78
Star Cement,5072.67,377.43
Netwrk.18 Media,5067.23,366.02
Gulf Oil Lubric.,5020.44,355.95
UCO Bank,5012.59,3449.55
Jagran Prakashan,4995.05,598.07
Elgi Equipment,4954.08,415.42
JK Lakshmi Cem.,4931.55,837.41
Zydus Wellness,4921.45,132.4
Equitas Holdings,4886.09,429.86
India Cements,4885.75,1213.08
Dishman Pharma.,4861.2,534.22
South Ind.Bank,4856.71,1576.96
Polaris Consulta,4830.44,680.07
V I P Inds.,4819.63,337.99
APL Apollo,4775.03,1314.38
Sadbhav Infra.,4735.67,624.37
Jindal Stain.,4726.91,2988.86
Swan Energy,4721.49,1137.17
NIIT Tech.,4658.2,756.5
Caplin Point Lab,4600.73,141.61
Indian Energy Ex,4595.7,64.75
Shoppers St.,4558.06,1137.17
Godfrey Phillips,4512.29,581.94
Jindal Stain .Hi,4498.09,2438.58
RCF,4493.52,1985.06
Rallis India,4493.2,390.16
Stand.Chart.PLC,4487.31,1137.17
GMDC,4456.77,506.06
Manpasand Bever.,4406.8,143.13
Tata Inv.Corpn.,4401.66,47.02
Essel Propack,4371.24,595.05
Allcargo Logist.,4369.69,1479.91
Radico Khaitan,4358.48,482.52
Cera Sanitary.,4356.9,290.88
BSE,9885.05,1137.17
Forbes & Co,4331.82,63.93
SBT,4328.47,2365.94
KNR Construct.,4325.39,433.19
PNC Infratech,4307.29,472.48
Greenply Inds.,4295.02,399.29
Ujjivan Fin.Ser.,4293.42,0.0
Monsanto India,4291.43,183.74
Vinati Organics,4279.07,185.65
Jindal Saw,4278.31,1137.17
Lux Industries,4269.78,297.43
Linde India,4198.33,1137.17
Ratnamani Metals,4194.31,535.6
Cox & Kings,4179.29,1356.07
Omaxe,4168.29,506.82
Ashoka Buildcon,4166.87,729.22
Time Technoplast,4156.58,754.7
Phillips Carbon,4149.67,612.4
Allahabad Bank,4137.11,4243.83
Welspun Corp,4103.05,2304.16
NESCO,4093.02,80.62
CARE Ratings,4090.69,74.82
JP Associates,4074.37,1137.17
Andhra Bank,4067.25,4549.26
Zensar Tech.,4066.42,793.76
S H Kelkar & Co.,4057.34,283.12
Mahindra Holiday,4030.35,267.54
Sintex Plastics,4022.02,1332.73
SREI Infra. Fin.,4009.63,1405.19
Techno Elec.,3975.44,275.64
Minda Corp,3974.83,636.2
HMT,3973.5,1137.17
KPIT Tech.,3927.26,912.77
Triveni Turbine,3910.17,165.59
Shankara Build.,3901.07,624.62
Multi Comm. Exc.,3847.19,60.97
Brigade Enterpr.,3846.15,423.91
Gayatri Projects,3835.73,1137.17
Magma Fincorp,3826.83,580.58
VRL Logistics,3824.69,489.34
ICRA,3809.0,82.87
Shriram Pistons,3804.58,430.8
IFCI,3789.45,626.8
Suprajit Engg.,3777.26,366.29
J & K Bank,3775.5,1682.97
Navin Fluo.Intl.,3769.26,221.45
Karnataka Bank,3765.74,1332.24
Shilpa Medicare,3764.1,185.53
Kushal,3761.86,578.18
Venky's (India),3760.61,695.85
Force Motors,9885.05,1137.17
CCL Products,3748.73,273.99
Excel Crop Care,3734.06,258.65
Trident,3722.6,1137.17
Corporation Bank,3716.46,4387.85
Rane Holdings,3711.8,593.74
Team Lease Serv.,3677.34,918.06
Oriental Bank,3674.6,4262.08
ITDC,3619.04,102.14
JP Power Ven.,3597.6,1137.17
SCI,3582.0,879.56
JK Tyre & Indust,3577.98,2123.24
Deepak Nitrite,3531.9,371.14
Heidelberg Cem.,3531.77,491.23
Amber Enterp.,3529.87,1137.17
Sharda Cropchem,3528.07,325.46
Dixon Technolog.,3526.8,677.8
Himatsing. Seide,3511.08,595.61
La Opala RG,3510.93,69.77
HFCL,3482.71,714.42
Reliance Home,3470.6,403.0
Rupa & Co,3460.91,277.96
Hind.Construct.,3452.57,1137.17
Ent.Network,3380.99,148.42
Supreme Petroch.,3377.57,725.02
MASFINANCSER,3376.2,112.05
Thyrocare Tech.,3374.38,77.84
Prakash Inds.,3336.05,725.97
Repco Home Fin,3331.08,277.48
Sonata Software,3329.58,766.75
Central Dep. Ser,3316.31,47.24
Puravankara,3274.9,440.09
Tejas Networks,3209.89,229.87
ITD Cem,3192.67,472.98
Hathway Cable,3189.1,138.65
Dhanuka Agritech,3188.62,221.51
Mahindra Logis.,3187.51,835.06
Heritage Foods,3185.45,581.74
Mah. Seamless,3164.73,563.66
Navneet Educat.,3148.36,174.41
Firstsour.Solu.,3139.94,887.24
Kaveri Seed Co.,3125.83,70.64
Star Ferro Cem.,3115.98,393.49
Deepak Fert.,3079.06,1644.92
Va Tech Wabag,3041.93,460.89
Prime Focus,3031.5,609.61
Lak. Vilas Bank,3029.57,790.17
NOCIL,3026.26,249.27
Orient Cement,3024.32,511.53
Natl.Fertilizer,3017.07,2840.75
L T Foods,9885.05,1137.17
